IDTURMA,IDPROFESSOR
20396,1107
20399,1502
20404,1188
20405,82080
20406,1585
20407,690
20408,70342
20409,1259
20410,1347
20411,57381
20412,1012
20414,57381
20415,1543
20416,805
20417,57290
20418,728
20419,35259
20423,1502
20427,72051
20428,48922
20429,72051
20432,69242
20433,1502
20434,805
20436,1188
20437,1014
20438,57381
20439,70342
20440,69990
20441,72051
20442,1259
20443,522
20444,71117
20445,690
20446,57381
20447,1107
20449,80479
20450,52945
20451,80479
20452,1012
20453,913
20454,63270
20455,70342
20456,1585
20457,1012
20458,51797
20459,50588
20460,1161
20461,75379
20466,913
20468,1502
20469,91896
20471,46494
20472,72051
20473,69242
20475,70342
20476,1188
20481,1543
20482,70342
20484,80479
20485,46793
20486,913
20487,519
20488,35259
20489,46494
20490,743
20491,72051
20492,1014
20493,522
20494,69990
20495,1585
20497,57455
20508,75379
20509,50588
20510,54448
20511,64727
20512,54448
20515,52945
20517,1012
20518,35245
20519,52945
20520,46793
20521,1161
20522,70342
20523,1288
20524,519
20525,69990
20527,57455
20528,1347
20530,805
20531,1259
20532,449
20534,46793
20535,743
20536,75958
20537,1347
20538,59008
20539,1585
20540,35259
20541,68173
20542,1617
20543,743
20544,1585
20545,59008
20546,91896
20549,75379
20550,1161
20552,1014
20553,44206
20554,1347
20569,63270
20570,449
20571,48922
20572,35259
20573,1347
20574,44206
20575,449
20576,690
20577,728
20578,71117
20579,59008
20580,728
20581,91896
20582,48922
20583,75958
20584,1288
20587,51797
20588,913
20589,51797
20590,1107
20591,71117
20592,683
20593,690
20594,46494
20595,72051
20596,683
20597,1502
20599,1585
20601,70342
20602,35245
20605,226
20606,54448
20607,1161
20609,75379
20630,1173
20631,68173
20633,805
20634,67720
20636,70342
20639,85669
20640,57639
20641,58096
20642,1391
20643,953
20645,1391
20646,85669
20647,52945
20648,57639
20650,686
20651,1391
20652,58096
20653,686
20654,52945
20659,54448
20661,913
20663,69995
20669,73383
20680,728
20681,46494
20684,1347
20688,69990
20689,913
20690,1585
20693,85669
20694,75379
20696,69995
20698,57639
20699,66626
20700,64727
20701,69995
20703,54448
20704,69995
20705,66626
20707,50588
20709,1161
20710,1161
20711,728
20712,0
20714,0
20715,69985
20716,1012
20717,57639
20719,35245
20721,913
20722,57290
20724,46793
20725,58543
20726,80479
20731,805
20734,1259
20736,44206
20737,78645
20740,743
20754,71117
20757,1012
20758,69995
20759,62344
20769,1107
20789,82080
20790,1193
20795,69985
20802,13828
20806,58543
20807,13828
20819,68173
20820,85669
20823,69990
20829,522
20850,83288
20854,59008
20859,63882
20860,63882
20861,82070
20862,82070
20863,82070
20876,522
20877,65877
20884,57972
20888,82070
20889,46494
20892,82070
20902,72039
20905,72051
20909,65877
20910,44206
20913,57381
20917,72039
20918,57290
20919,63882
20922,87001
20923,1107
20933,805
20935,72039
20939,82080
20941,72039
20943,72051
20948,65877
20950,84328
20954,91896
20959,57972
20964,83288
20970,83288
20982,72039
20985,87001
20993,57972
20997,57972
20998,82070
20999,72039
21000,63882
21003,83288
21005,65877
21009,57972
21011,63882
21012,84328
21014,87001
21020,44206
21036,743
21055,57381
21056,1585
21057,519
21059,1107
21060,519
21061,449
21062,69990
21063,1188
21064,1107
21065,1347
21066,48922
21067,69242
21068,69985
21069,69990
21070,1543
21072,57381
21074,59008
21075,449
21077,58543
21084,67720
21085,57649
21086,89226
21087,2114
21096,80140
21097,74355
21099,90998
21100,56939
21101,74355
21102,57649
21105,53429
21106,74355
21108,2076
21109,2076
21110,90942
21113,53429
21115,88653
21116,80140
21117,2114
21119,56939
21120,88653
21121,89226
21123,56939
21124,2076
21125,89226
21126,2114
21127,80140
21128,0
21129,74355
21130,74355
21132,57649
21133,90998
21134,57649
21135,53429
21136,74355
21138,2114
21139,57649
21140,53429
21141,86157
21142,53429
21143,57649
21144,2114
21145,57649
21146,89226
21147,80140
21148,89226
21149,2076
21150,86213
21151,87984
21153,2114
21155,80140
21156,56939
21159,2346
21164,56939
21165,56939
21166,87984
21167,87984
21168,88653
21170,90998
21171,56939
21172,80140
21173,80140
21174,2346
21176,87984
21177,80140
21178,88653
21179,2076
21180,2346
21181,86213
21182,86157
21184,86213
21185,86213
21186,86213
21187,0
21197,57649
21198,53429
21199,86157
21203,80140
21205,2114
21206,88653
21208,87984
21209,80140
21223,1188
21226,690
21227,59008
21228,68173
21229,0
21230,78645
21231,395
21232,1014
21233,1502
21234,73383
21235,44206
21236,71117
21237,57290
21238,1288
21239,1014
21240,683
21241,35259
21244,50588
21249,63270
21322,78645
21324,395
21325,1502
21326,35259
21327,71117
21328,1502
21329,1347
21331,83288
21333,226
21334,226
21345,0
21351,78645
21354,35259
21357,64727
21378,48922
21384,48922
21398,78626
21445,2114
21448,1288
21450,78645
21454,1014
21455,57290
21462,82080
21465,0
21477,1288
21480,519
21488,1161
21490,395
