fitness,origem,tempo_criacao,geracao,individuo,diversidade,obs
32580.326568999986,Geração Inicial,1733626065.1239011,0,"{20639: 57639, 20640: 953, 20641: 58096, 20642: 62344, 20643: 1391, 20645: 1391, 20646: 52945, 20647: 62344, 20648: 686, 20650: 57639, 20651: 953, 20652: 1193, 20653: 57639, 20654: 58096, 20693: 85669, 20698: 1167, 20717: 52945, 20725: 85669, 20759: 85669, 20790: 1540, 20806: 58543, 20820: 62344, 20850: 72039, 20859: 63882, 20860: 63882, 20861: 82070, 20862: 82070, 20863: 63882, 20877: 63882, 20884: 65877, 20888: 57972, 20892: 83288, 20902: 83288, 20909: 65877, 20917: 72039, 20919: 72039, 20922: 82070, 20935: 82070, 20941: 72039, 20948: 65877, 20950: 63882, 20959: 72039, 20964: 65877, 20970: 83288, 20982: 72039, 20985: 83288, 20993: 57972, 20997: 87001, 20998: 82070, 20999: 87001, 21000: 63882, 21003: 65877, 21005: 83288, 21009: 57972, 21011: 87001, 21012: 82070, 21014: 83288, 21077: 1540, 21331: 87001, 21345: 82070, 21465: 0}",47.03908045977011,normal
33343.19797200001,Geração Inicial,1733626065.4292486,0,"{20639: 62344, 20640: 58096, 20641: 58096, 20642: 1193, 20643: 686, 20645: 1391, 20646: 953, 20647: 52945, 20648: 1193, 20650: 52945, 20651: 686, 20652: 1391, 20653: 1391, 20654: 62344, 20693: 85669, 20698: 58096, 20717: 1167, 20725: 58543, 20759: 85669, 20790: 58543, 20806: 58543, 20820: 57639, 20850: 57972, 20859: 82070, 20860: 63882, 20861: 63882, 20862: 82070, 20863: 63882, 20877: 63882, 20884: 83288, 20888: 57972, 20892: 65877, 20902: 83288, 20909: 0, 20917: 84328, 20919: 63882, 20922: 87001, 20935: 82070, 20941: 84328, 20948: 83288, 20950: 72039, 20959: 65877, 20964: 72039, 20970: 65877, 20982: 72039, 20985: 87001, 20993: 87001, 20997: 87001, 20998: 82070, 20999: 65877, 21000: 63882, 21003: 65877, 21005: 65877, 21009: 57972, 21011: 87001, 21012: 82070, 21014: 83288, 21077: 1193, 21331: 57972, 21345: 72039, 21465: 82070}",47.03908045977011,normal
32548.449973,Geração Inicial,1733626065.7411227,0,"{20639: 58096, 20640: 1193, 20641: 1193, 20642: 52945, 20643: 1391, 20645: 57639, 20646: 953, 20647: 686, 20648: 62344, 20650: 686, 20651: 85669, 20652: 62344, 20653: 57639, 20654: 58096, 20693: 58096, 20698: 52945, 20717: 58096, 20725: 1167, 20759: 57639, 20790: 58543, 20806: 686, 20820: 52945, 20850: 87001, 20859: 63882, 20860: 63882, 20861: 82070, 20862: 82070, 20863: 82070, 20877: 65877, 20884: 57972, 20888: 65877, 20892: 65877, 20902: 82070, 20909: 0, 20917: 72039, 20919: 84328, 20922: 63882, 20935: 72039, 20941: 63882, 20948: 83288, 20950: 84328, 20959: 87001, 20964: 57972, 20970: 83288, 20982: 72039, 20985: 65877, 20993: 57972, 20997: 83288, 20998: 82070, 20999: 57972, 21000: 63882, 21003: 72039, 21005: 65877, 21009: 63882, 21011: 84328, 21012: 87001, 21014: 57972, 21077: 58543, 21331: 83288, 21345: 72039, 21465: 0}",47.03908045977011,normal
31725.784819000015,Geração Inicial,1733626066.081875,0,"{20639: 52945, 20640: 52945, 20641: 1391, 20642: 62344, 20643: 57639, 20645: 953, 20646: 1391, 20647: 686, 20648: 57639, 20650: 953, 20651: 85669, 20652: 85669, 20653: 953, 20654: 1193, 20693: 78631, 20698: 85669, 20717: 52945, 20725: 58096, 20759: 686, 20790: 58096, 20806: 52945, 20820: 1167, 20850: 57972, 20859: 82070, 20860: 63882, 20861: 63882, 20862: 82070, 20863: 63882, 20877: 57972, 20884: 82070, 20888: 63882, 20892: 83288, 20902: 72039, 20909: 65877, 20917: 87001, 20919: 84328, 20922: 87001, 20935: 82070, 20941: 87001, 20948: 82070, 20950: 82070, 20959: 65877, 20964: 83288, 20970: 72039, 20982: 83288, 20985: 72039, 20993: 72039, 20997: 57972, 20998: 63882, 20999: 83288, 21000: 82070, 21003: 72039, 21005: 65877, 21009: 82070, 21011: 84328, 21012: 87001, 21014: 65877, 21077: 58543, 21331: 83288, 21345: 65877, 21465: 0}",47.03908045977011,normal
31944.24005133334,Geração Inicial,1733626066.397424,0,"{20639: 57639, 20640: 686, 20641: 686, 20642: 85669, 20643: 62344, 20645: 62344, 20646: 58096, 20647: 1391, 20648: 58096, 20650: 57639, 20651: 58096, 20652: 52945, 20653: 1193, 20654: 1391, 20693: 58096, 20698: 85669, 20717: 57639, 20725: 85669, 20759: 953, 20790: 1193, 20806: 58543, 20820: 1167, 20850: 83288, 20859: 82070, 20860: 63882, 20861: 63882, 20862: 82070, 20863: 82070, 20877: 63882, 20884: 82070, 20888: 82070, 20892: 72039, 20902: 83288, 20909: 65877, 20917: 84328, 20919: 84328, 20922: 87001, 20935: 82070, 20941: 63882, 20948: 65877, 20950: 87001, 20959: 57972, 20964: 83288, 20970: 72039, 20982: 65877, 20985: 72039, 20993: 83288, 20997: 72039, 20998: 63882, 20999: 87001, 21000: 82070, 21003: 57972, 21005: 65877, 21009: 65877, 21011: 87001, 21012: 84328, 21014: 65877, 21077: 58543, 21331: 65877, 21345: 0, 21465: 0}",47.03908045977011,normal
33215.582119,Geração Inicial,1733626066.7094882,0,"{20639: 57639, 20640: 1391, 20641: 953, 20642: 58096, 20643: 52945, 20645: 62344, 20646: 953, 20647: 52945, 20648: 85669, 20650: 62344, 20651: 57639, 20652: 85669, 20653: 52945, 20654: 1193, 20693: 62344, 20698: 58096, 20717: 85669, 20725: 62344, 20759: 57639, 20790: 1540, 20806: 686, 20820: 1167, 20850: 72039, 20859: 82070, 20860: 82070, 20861: 63882, 20862: 63882, 20863: 82070, 20877: 82070, 20884: 63882, 20888: 82070, 20892: 83288, 20902: 65877, 20909: 65877, 20917: 63882, 20919: 72039, 20922: 87001, 20935: 63882, 20941: 63882, 20948: 63882, 20950: 87001, 20959: 57972, 20964: 87001, 20970: 72039, 20982: 72039, 20985: 57972, 20993: 57972, 20997: 83288, 20998: 82070, 20999: 83288, 21000: 63882, 21003: 57972, 21005: 72039, 21009: 65877, 21011: 63882, 21012: 87001, 21014: 65877, 21077: 1540, 21331: 83288, 21345: 65877, 21465: 0}",47.03908045977011,normal
30490.63340966668,Geração Inicial,1733626067.008483,0,"{20639: 953, 20640: 85669, 20641: 686, 20642: 686, 20643: 52945, 20645: 1193, 20646: 62344, 20647: 58096, 20648: 57639, 20650: 1193, 20651: 62344, 20652: 1391, 20653: 1391, 20654: 57639, 20693: 78631, 20698: 57639, 20717: 58543, 20725: 78631, 20759: 58096, 20790: 1540, 20806: 58543, 20820: 1167, 20850: 57972, 20859: 82070, 20860: 63882, 20861: 63882, 20862: 82070, 20863: 63882, 20877: 83288, 20884: 83288, 20888: 83288, 20892: 72039, 20902: 82070, 20909: 65877, 20917: 63882, 20919: 82070, 20922: 87001, 20935: 84328, 20941: 63882, 20948: 65877, 20950: 72039, 20959: 65877, 20964: 87001, 20970: 83288, 20982: 65877, 20985: 83288, 20993: 83288, 20997: 65877, 20998: 82070, 20999: 87001, 21000: 63882, 21003: 57972, 21005: 83288, 21009: 57972, 21011: 82070, 21012: 84328, 21014: 87001, 21077: 1540, 21331: 72039, 21345: 72039, 21465: 82070}",47.03908045977011,normal
33769.31219399999,Geração Inicial,1733626067.3187304,0,"{20639: 62344, 20640: 1193, 20641: 85669, 20642: 52945, 20643: 62344, 20645: 58096, 20646: 85669, 20647: 686, 20648: 1391, 20650: 57639, 20651: 686, 20652: 686, 20653: 58096, 20654: 953, 20693: 85669, 20698: 62344, 20717: 52945, 20725: 78631, 20759: 58096, 20790: 1540, 20806: 1391, 20820: 62344, 20850: 87001, 20859: 63882, 20860: 82070, 20861: 82070, 20862: 63882, 20863: 82070, 20877: 63882, 20884: 65877, 20888: 83288, 20892: 83288, 20902: 82070, 20909: 65877, 20917: 72039, 20919: 82070, 20922: 84328, 20935: 87001, 20941: 87001, 20948: 65877, 20950: 63882, 20959: 65877, 20964: 87001, 20970: 65877, 20982: 83288, 20985: 72039, 20993: 57972, 20997: 72039, 20998: 63882, 20999: 57972, 21000: 82070, 21003: 57972, 21005: 72039, 21009: 63882, 21011: 84328, 21012: 87001, 21014: 65877, 21077: 1540, 21331: 72039, 21345: 83288, 21465: 0}",47.03908045977011,normal
32209.348568000005,Geração Inicial,1733626067.6489284,0,"{20639: 58096, 20640: 1193, 20641: 1391, 20642: 85669, 20643: 953, 20645: 62344, 20646: 62344, 20647: 686, 20648: 57639, 20650: 58096, 20651: 57639, 20652: 57639, 20653: 85669, 20654: 52945, 20693: 58543, 20698: 58096, 20717: 1167, 20725: 52945, 20759: 686, 20790: 1540, 20806: 52945, 20820: 58096, 20850: 57972, 20859: 82070, 20860: 82070, 20861: 63882, 20862: 63882, 20863: 63882, 20877: 82070, 20884: 63882, 20888: 82070, 20892: 83288, 20902: 72039, 20909: 65877, 20917: 87001, 20919: 72039, 20922: 84328, 20935: 84328, 20941: 84328, 20948: 83288, 20950: 87001, 20959: 65877, 20964: 57972, 20970: 87001, 20982: 57972, 20985: 65877, 20993: 72039, 20997: 83288, 20998: 63882, 20999: 87001, 21000: 82070, 21003: 65877, 21005: 65877, 21009: 83288, 21011: 82070, 21012: 72039, 21014: 72039, 21077: 1540, 21331: 83288, 21345: 82070, 21465: 72039}",47.03908045977011,normal
36286.932019,Geração Inicial,1733626067.9980092,0,"{20639: 62344, 20640: 953, 20641: 58096, 20642: 85669, 20643: 1193, 20645: 57639, 20646: 62344, 20647: 1391, 20648: 1193, 20650: 52945, 20651: 953, 20652: 58096, 20653: 62344, 20654: 1391, 20693: 58096, 20698: 62344, 20717: 85669, 20725: 58543, 20759: 57639, 20790: 1540, 20806: 52945, 20820: 58096, 20850: 65877, 20859: 63882, 20860: 82070, 20861: 82070, 20862: 63882, 20863: 82070, 20877: 57972, 20884: 83288, 20888: 65877, 20892: 72039, 20902: 82070, 20909: 65877, 20917: 63882, 20919: 63882, 20922: 63882, 20935: 84328, 20941: 72039, 20948: 63882, 20950: 63882, 20959: 65877, 20964: 65877, 20970: 83288, 20982: 65877, 20985: 57972, 20993: 87001, 20997: 57972, 20998: 82070, 20999: 83288, 21000: 63882, 21003: 83288, 21005: 83288, 21009: 57972, 21011: 87001, 21012: 84328, 21014: 87001, 21077: 1540, 21331: 72039, 21345: 72039, 21465: 0}",47.03908045977011,normal
27311.852417999984,Geração Inicial,1733626068.4238055,0,"{20639: 58096, 20640: 1193, 20641: 52945, 20642: 85669, 20643: 1391, 20645: 686, 20646: 57639, 20647: 85669, 20648: 1193, 20650: 686, 20651: 686, 20652: 58096, 20653: 57639, 20654: 52945, 20693: 57639, 20698: 1167, 20717: 1167, 20725: 58543, 20759: 953, 20790: 1540, 20806: 1391, 20820: 62344, 20850: 65877, 20859: 82070, 20860: 63882, 20861: 63882, 20862: 82070, 20863: 82070, 20877: 83288, 20884: 57972, 20888: 57972, 20892: 65877, 20902: 72039, 20909: 0, 20917: 72039, 20919: 87001, 20922: 87001, 20935: 82070, 20941: 72039, 20948: 57972, 20950: 87001, 20959: 57972, 20964: 65877, 20970: 87001, 20982: 87001, 20985: 72039, 20993: 57972, 20997: 65877, 20998: 63882, 20999: 87001, 21000: 82070, 21003: 83288, 21005: 72039, 21009: 65877, 21011: 84328, 21012: 72039, 21014: 0, 21077: 1540, 21331: 65877, 21345: 83288, 21465: 0}",47.03908045977011,normal
32164.866417999976,Geração Inicial,1733626068.9365406,0,"{20639: 1391, 20640: 62344, 20641: 62344, 20642: 57639, 20643: 686, 20645: 1193, 20646: 52945, 20647: 58096, 20648: 686, 20650: 953, 20651: 58096, 20652: 85669, 20653: 686, 20654: 58096, 20693: 1167, 20698: 58096, 20717: 85669, 20725: 1167, 20759: 1391, 20790: 1193, 20806: 52945, 20820: 58543, 20850: 83288, 20859: 63882, 20860: 63882, 20861: 82070, 20862: 82070, 20863: 82070, 20877: 57972, 20884: 65877, 20888: 65877, 20892: 82070, 20902: 82070, 20909: 65877, 20917: 84328, 20919: 63882, 20922: 72039, 20935: 84328, 20941: 63882, 20948: 65877, 20950: 84328, 20959: 87001, 20964: 72039, 20970: 72039, 20982: 72039, 20985: 72039, 20993: 87001, 20997: 83288, 20998: 82070, 20999: 87001, 21000: 63882, 21003: 57972, 21005: 83288, 21009: 83288, 21011: 87001, 21012: 84328, 21014: 87001, 21077: 1193, 21331: 65877, 21345: 0, 21465: 0}",47.03908045977011,normal
32303.19481900001,Geração Inicial,1733626069.390599,0,"{20639: 62344, 20640: 1391, 20641: 686, 20642: 1193, 20643: 686, 20645: 58096, 20646: 85669, 20647: 1391, 20648: 953, 20650: 62344, 20651: 686, 20652: 52945, 20653: 57639, 20654: 953, 20693: 62344, 20698: 78631, 20717: 58543, 20725: 78631, 20759: 58096, 20790: 1540, 20806: 52945, 20820: 52945, 20850: 83288, 20859: 82070, 20860: 63882, 20861: 63882, 20862: 82070, 20863: 63882, 20877: 63882, 20884: 83288, 20888: 65877, 20892: 82070, 20902: 72039, 20909: 65877, 20917: 84328, 20919: 72039, 20922: 87001, 20935: 82070, 20941: 63882, 20948: 65877, 20950: 72039, 20959: 57972, 20964: 57972, 20970: 87001, 20982: 65877, 20985: 72039, 20993: 83288, 20997: 57972, 20998: 63882, 20999: 87001, 21000: 82070, 21003: 83288, 21005: 65877, 21009: 57972, 21011: 82070, 21012: 72039, 21014: 87001, 21077: 1540, 21331: 83288, 21345: 82070, 21465: 0}",47.03908045977011,normal
